ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2
0,False,,0,[],[],0,[0],0.0,[],[],0,0
1,False,,1,[],[0],22,[1],0.9990009990009991,"[0, 8, 10, 12, 14, 16, 19, 20, 22, 23, 24]","[1, 4, 5, 7, 9, 11, 12, 13, 17, 18, 20]",,22
2,False,,2,[],[1],73,[1],0.9995002498750625,"[28, 31, 32, 33, 35, 36, 38, 39, 40, 42, 45, 50, 55, 57, 58, 61, 64, 65, 66, 67, 68, 69, 72, 75, 77, 78, 79]","[23, 26, 29, 30, 31, 32, 34, 36, 40, 42, 44, 47, 50, 51, 52, 53, 55, 56, 57, 58, 61, 62, 64, 67, 70, 71, 72]",,73
