ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50
0,True,3,0,[],[],0,[0],0.0,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,True,8,1,[],[0],1,"[6, 10, 17, 20, 21, 39]",0.9990009990009991,"[0, 7]","[1, 1]",,,,,,,1,,,,1,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2,True,15,2,[],[1],1,"[10, 17, 20, 21, 39]",0.9995002498750625,[2],[1],,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
3,False,,1,[],[0],2,"[1, 5, 28, 47]",0.33322225924691773,[12],[2],,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,
4,False,,3,[0],[2],3,"[10, 17, 20, 21, 39]",0.7498125468632841,[20],[3],,,,,,,,,,,3,,,,,,,3,,,3,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
5,False,,4,[1],[4],8,"[17, 20, 21, 39]",0.7998400319936012,[40],[8],,,,,,,,,,,,,,,,,,8,,,8,8,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
6,False,,4,[1],[4],9,"[10, 17, 20, 21, 39]",0.6665555740709881,[42],[9],,,,,,,,,,,9,,,,,,,9,,,9,9,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
7,False,,2,[],[3],12,"[1, 5, 28, 47]",0.285673475217826,[67],[12],,12,,,,12,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,12,,
8,False,,5,[2],[6],15,"[10, 17, 20, 21, 39]",0.6249218847644045,[78],[15],,,,,,,,,,,15,,,,,,,15,,,15,15,,,,,,,,,,,,,,,,,,15,,,,,,,,,,
