ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5
0,False,,0,[],[],0,[0],0.0,[],[],0,0,0,0,0
1,False,,1,[],[0],22,[3],0.9990009990009991,"[2, 4, 5, 6, 7, 13, 15, 16, 18, 20, 21]","[2, 3, 3, 3, 4, 9, 10, 11, 12, 13, 17]",41,22,,22,
2,False,,1,[],[0],73,[4],0.49975012493753124,"[8, 11, 14, 17, 22, 23, 24, 29, 30, 35, 39, 42, 46, 52, 56, 57, 62, 64, 65, 67, 71, 79]","[4, 7, 9, 11, 17, 18, 20, 25, 25, 31, 36, 42, 46, 49, 51, 51, 55, 55, 56, 58, 64, 72]",,,,,73
