ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
0,False,,0,[],[],0,[0],0.0,[],[],0,0,0,0,0,0,0,0
1,False,,1,[],[0],22,[5],0.9990009990009991,"[5, 10, 11, 18]","[3, 5, 7, 12]",60,39,44,35,86,22,63,89
2,False,,2,[],[1],73,[3],0.9995002498750625,"[6, 12, 14, 23, 25, 26, 36, 37, 39, 51, 52, 54, 64, 70, 73]","[3, 7, 9, 18, 23, 23, 32, 34, 36, 48, 49, 50, 55, 64, 66]",,,,73,,110,140,
3,False,,1,[],[0],74,[4],0.33322225924691773,"[3, 9, 19, 21, 22, 32, 46, 48, 50, 53, 59, 68, 79]","[3, 5, 12, 17, 17, 29, 46, 47, 47, 49, 53, 61, 72]",,141,86,,74,,,92
