ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
0,False,,0,[],[],0,[0],0.0,[],[],0,12,14,29,14,20,24,14,11,33
1,False,,0,[],[],0,[1],0.0,[],[],12,0,14,29,14,20,24,14,12,33
2,False,,0,[],[],0,[2],0.0,[],[],41,14,0,29,11,20,32,11,37,35
3,False,,0,[],[],0,[3],0.0,[],[],61,48,29,0,35,41,61,39,33,25
4,False,,0,[],[],0,[4],0.0,[],[],41,14,11,29,0,20,32,11,37,35
5,False,,0,[],[],0,[5],0.0,[],[],24,41,20,29,20,0,13,20,24,33
6,False,,0,[],[],0,[6],0.0,[],[],24,41,20,29,20,13,0,20,24,33
7,False,,0,[],[],0,[7],0.0,[],[],41,14,11,29,11,20,32,0,37,35
8,False,,0,[],[],0,[8],0.0,[],[],11,12,14,29,14,20,24,14,0,33
9,False,,0,[],[],0,[9],0.0,[],[],61,48,29,25,35,41,61,39,33,0
10,False,,0,[],"[0, 8]",11,[0],0.19998000199980004,[11],[11],11,12,14,29,14,20,24,14,12,33
11,False,,0,[],"[8, 0]",11,[8],0.181801654395055,"[2, 6]","[3, 7]",27,12,14,29,14,20,24,14,11,33
12,False,,0,[],"[2, 4]",11,[2],0.16665277893508876,[],[],41,14,11,29,11,20,32,11,37,35
13,False,,0,[],"[4, 2]",11,[4],0.15383432043688947,[1],[3],41,14,54,61,11,20,32,11,53,35
14,False,,0,[],"[12, 7]",11,[2],0.28569387900864224,[],[],41,14,11,29,14,20,32,14,37,35
15,False,,0,[],"[7, 12]",11,[7],0.26664889007399506,"[3, 5]","[4, 6]",41,14,54,61,11,20,32,11,53,35
16,False,,0,[],"[13, 15]",11,[4],0.37497656396475215,[],[],41,14,54,61,11,20,32,14,53,35
17,False,,0,[],"[15, 13]",11,[7],0.3529204164460914,[],[],41,14,54,61,39,20,37,11,53,45
18,False,,0,[],"[10, 1]",12,[0],0.2222098772290428,[],[],12,41,37,61,32,39,24,37,24,33
19,False,,0,[],"[1, 10]",12,[1],0.2105152360402084,"[4, 9]","[4, 9]",27,12,14,29,14,20,24,14,12,33
20,False,,0,[],"[19, 11]",12,[1],0.2999850007499625,[],[],41,12,14,29,14,20,32,14,37,35
