ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
0,False,,0,[],[],0,[0],0.0,[],[],0,,,,,,1,2,,
1,False,,0,[],[],0,[1],0.0,[],[],,0,,,,,,,,
2,False,,0,[],[],0,[2],0.0,[],[],,,0,,,,,,,
3,False,,0,[],[],0,[3],0.0,[],[],2,,,0,,,2,1,,
4,False,,0,[],[],0,[4],0.0,[],[],,,,,0,,,,,
5,False,,0,[],[],0,[5],0.0,[],[],,,,,,0,,,1,
6,False,,0,[],[],0,[6],0.0,[],[],1,,,,,,0,2,,
7,False,,0,[],[],0,[7],0.0,[],[],2,,,1,,,2,0,,
8,False,,0,[],[],0,[8],0.0,[],[],,,,,,1,,,0,
9,False,,0,[],[],0,[9],0.0,[],[],,,,,,,,,,0
