ID,confirmedBlock,confirmationTime,chainNum,orderTime,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5
0,False,,0,,[],[],0,[0],0.0,[],[],0,37,,,
1,False,,0,,[],[],0,[1],0.0,[],[],37,0,,9,22
2,False,,0,,[],[],0,[2],0.0,[],[],37,9,0,5,22
3,False,,0,,[],[],0,[3],0.0,[],[],37,9,5,0,22
4,False,,0,,[],[],0,[4],0.0,[],[],37,22,,27,0
5,False,,0,,[],"[3, 2]",5,"[2, 3]",0.3999200159968006,"[3, 5]","[3, 4]",37,9,5,5,22
6,False,,0,,[],"[5, 1]",9,"[1, 3]",0.6665555740709881,[7],[7],37,9,,9,22
7,False,,0,,[],"[4, 6]",22,"[1, 4]",0.857020425653478,"[2, 6, 11, 12, 15, 17, 19]","[1, 7, 12, 12, 19, 21, 22]",37,22,,27,22
8,False,,0,,[],"[6, 7]",27,"[1, 3]",0.8748906386701663,"[22, 24, 26]","[25, 25, 26]",37,27,,27,
9,False,,1,,[],"[8, 0]",37,"[0, 1]",0.9998889012331964,"[1, 4, 8, 9, 10, 16, 20, 28, 29, 30, 31, 32, 35, 36, 39, 40]","[1, 3, 9, 9, 10, 20, 24, 27, 28, 28, 29, 29, 31, 32, 34, 35]",37,37,,,
