ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5
0,False,,0,[],[],0,[0],0.0,[],[],0,11,19,11,11
1,False,,0,[],[],0,[1],0.0,[],[],11,0,19,11,11
2,False,,0,[],[],0,[2],0.0,[],[],33,29,0,19,19
3,False,,0,[],[],0,[3],0.0,[],[],11,11,19,0,11
4,False,,0,[],[],0,[4],0.0,[],[],11,11,19,11,0
5,False,,0,[],"[0, 1]",11,[0],0.3999200159968006,"[4, 9, 11]","[4, 8, 10]",11,11,19,11,11
6,False,,0,[],"[1, 0]",11,[1],0.33327778703549404,"[8, 10, 12, 13]","[8, 9, 11, 11]",33,11,19,11,11
7,False,,0,[],"[5, 3]",11,[0],0.571346950435652,[],[],11,11,19,11,11
8,False,,0,[],"[3, 5]",11,[3],0.4999375078115236,[3],[3],33,11,19,11,11
9,False,,0,[],"[7, 4]",11,[0],0.6665926008221309,[],[],11,55,45,65,33
10,False,,0,[],"[4, 7]",11,[4],0.5999400059994001,"[1, 6]","[1, 7]",33,11,19,11,11
11,False,,0,[],"[6, 8]",11,[1],0.545404963185165,[],[],33,11,19,11,11
12,False,,0,[],"[8, 6]",11,[3],0.49995833680526625,[],[],33,29,19,11,11
13,False,,0,[],"[11, 10]",11,[1],0.7691716021844474,[],[],45,11,35,29,45
14,False,,0,[],"[10, 11]",11,[4],0.7142346975216056,[],[],33,29,19,11,11
15,False,,0,[],"[12, 14]",11,[3],0.7999466702219852,[],[],33,29,19,11,19
16,False,,0,[],"[14, 12]",11,[4],0.7499531279295043,[],[],33,35,19,52,11
17,False,,0,[],"[2, 15]",19,[2],0.8234809717075465,"[2, 5, 7, 14, 20]","[2, 4, 8, 12, 16]",33,35,19,52,19
18,False,,0,[],"[15, 2]",19,[3],0.7777345703016498,"[22, 23]","[18, 19]",45,29,35,19,45
19,False,,0,[],"[17, 16]",19,[2],0.8420609441608335,[],[],45,35,19,52,45
20,False,,0,[],"[16, 17]",19,[4],0.7999600019998999,[16],[14],33,55,45,65,19
21,False,,0,[],"[13, 18]",29,[1],0.7618684824532165,"[17, 19, 31, 33]","[15, 16, 27, 29]",45,29,35,52,45
22,False,,0,[],"[18, 13]",29,[3],0.7272396709240488,"[29, 32]","[24, 28]",55,52,71,29,55
23,False,,1,[],"[9, 20]",33,[0],0.7825746706664927,"[15, 18, 21, 27, 30]","[13, 15, 18, 23, 25]",33,55,45,65,45
24,False,,1,[],"[20, 9]",33,[4],0.749968751302029,"[26, 35, 36, 37]","[22, 32, 33, 33]",49,55,45,65,33
25,False,,1,[],"[21, 19]",35,[1],0.7999680012799487,[],[],55,35,71,52,55
26,False,,1,[],"[19, 21]",35,[2],0.7692011845698242,"[24, 25, 28, 34]","[20, 22, 24, 30]",45,55,35,65,45
27,False,,1,[],"[23, 26]",45,[0],0.8888559682974704,"[42, 50]","[39, 45]",45,55,71,65,49
28,False,,1,[],"[26, 23]",45,[2],0.8571122459912146,"[47, 48, 49]","[44, 44, 45]",49,55,45,65,45
29,False,,1,[],"[28, 24]",45,[2],0.8965208096272542,[],[],71,99,45,85,78
30,False,,1,[],"[24, 28]",45,[4],0.8666377787407086,"[40, 41, 43]","[38, 39, 40]",49,55,71,65,45
31,False,,1,[],"[27, 30]",49,[0],0.9031966710751266,[],[],49,55,71,65,55
32,False,,1,[],"[30, 27]",49,[4],0.8749726571044656,"[53, 54]","[47, 48]",78,55,79,65,49
33,False,,1,[],"[25, 22]",52,[1],0.6666464652586286,"[45, 51, 55, 58]","[40, 46, 49, 50]",55,52,71,65,55
34,False,,1,[],"[22, 25]",52,[3],0.6470397929472663,"[38, 39, 44, 46, 60]","[34, 36, 40, 41, 52]",78,70,79,52,65
35,False,,1,[],"[31, 33]",55,[0],0.9142595925830691,[59],[51],55,99,71,85,78
36,False,,1,[],"[33, 31]",55,[1],0.8888641982167163,[],[],78,55,79,65,55
37,False,,1,[],"[36, 32]",55,[1],0.9188940839436772,[],[],85,55,86,70,
38,False,,1,[],"[32, 36]",55,[4],0.8947132970184996,[],[],78,70,79,65,55
39,False,,1,[],"[34, 38]",65,[3],0.9230532550447424,"[62, 73]","[55, 65]",85,70,86,65,
40,False,,1,[],"[38, 34]",65,[4],0.899977500562486,"[65, 68, 69, 71, 72]","[60, 61, 63, 64, 65]",78,99,79,85,65
41,False,,1,[],"[37, 39]",70,[1],0.9268066632521158,"[66, 76]","[61, 67]",99,70,,99,
42,False,,1,[],"[39, 37]",70,[3],0.9047403633246828,[],[],85,99,86,70,
43,False,,1,[],"[35, 29]",71,[0],0.7906792865282203,"[63, 67]","[56, 61]",71,99,79,85,78
44,False,,1,[],"[29, 35]",71,[2],0.7727097111429286,"[52, 56, 57, 61, 64, 70, 75, 77, 79]","[46, 49, 49, 54, 57, 64, 67, 67, 70]",87,99,71,86,79
45,False,,2,[],"[43, 40]",78,[0],0.888869136241417,[84],[78],78,99,86,85,
46,False,,2,[],"[40, 43]",78,[4],0.8695463142105607,"[74, 78, 80]","[66, 68, 74]",87,99,79,86,78
47,False,,2,[],"[44, 46]",79,[2],0.8935980085530095,[81],[75],87,99,79,86,
48,False,,2,[],"[46, 44]",79,[4],0.8749817712130997,[],[],,,,,79
49,False,,2,[],"[45, 42]",85,[0],0.8979408583498296,[89],[81],85,99,87,99,
50,False,,2,[],"[42, 45]",85,[3],0.879982400351993,"[83, 87, 92]","[77, 80, 84]",87,99,86,85,
51,False,,2,[],"[47, 50]",86,[2],0.9411580165094803,"[86, 90, 91]","[80, 81, 82]",87,99,86,99,
52,False,,2,[],"[50, 47]",86,[3],0.9230591719390012,[],[],101,99,,86,
53,False,,2,[],"[49, 51]",87,[0],0.9433784268221355,[],[],87,99,,99,
54,False,,2,[],"[51, 49]",87,[2],0.925908779467047,[],[],,,87,,
55,False,,2,[],"[53, 41]",99,[0],0.9454373556844421,[],[],99,,,101,
56,False,,2,[],"[41, 53]",99,[1],0.9285548472348708,"[82, 85, 96]","[75, 79, 90]",101,99,,99,
57,False,,3,[],"[56, 52]",99,[1],0.9473518008455992,[],[],,99,,,
58,False,,3,[],"[52, 56]",99,[3],0.9310184307167119,"[95, 98]","[88, 93]",101,,,99,
59,False,,3,[],"[55, 58]",101,[0],0.9491364553143168,[],[],101,,,,
60,False,,3,[],"[58, 55]",101,[3],0.9333177780370328,[],[],,,,101,
