ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50
0,False,,0,[],[],0,[0],0.0,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,False,,1,[],[0],22,[37],0.9990009990009991,"[6, 13, 15, 20]","[3, 9, 10, 13]",48,26,62,61,48,38,45,30,96,71,22,36,122,48,40,67,68,71,52,38,22,61,23,49,48,81,91,82,48,51,60,35,52,23,48,44,22,22,30,35,111,67,105,64,49,33,48,87,34,77
2,False,,2,[],[1],73,[43],0.9995002498750625,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 14, 16, 18, 19, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 35, 37, 38, 39, 43, 44, 47, 51, 53, 54, 55, 56, 61, 62, 63, 73]","[2, 2, 3, 3, 3, 4, 4, 5, 7, 7, 9, 11, 12, 12, 18, 20, 23, 23, 23, 23, 25, 26, 29, 30, 31, 34, 34, 36, 43, 43, 47, 48, 49, 50, 50, 51, 53, 55, 55, 66]",106,102,140,130,116,115,139,108,114,106,118,119,122,99,137,74,82,73,92,81,111,91,103,90,139,92,,104,109,145,124,101,103,101,92,97,103,131,74,90,111,74,114,73,76,103,,91,88,118
3,False,,1,[],[0],74,[12],0.33322225924691773,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 14, 16, 18, 19, 23, 24, 25, 26, 27, 30, 31, 32, 35, 37, 38, 39, 43, 44, 54, 61, 63]","[2, 2, 3, 3, 3, 3, 4, 5, 7, 7, 9, 11, 12, 12, 18, 20, 23, 23, 23, 25, 26, 29, 31, 34, 34, 36, 43, 43, 50, 53, 55]",,,,,,,,,,,,,74,,,,138,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,
