ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5
0,False,,0,[],[],0,[0],0.0,[],[],0,37,,,
1,False,,0,[],[],0,[1],0.0,[],[],37,0,14,9,22
2,False,,0,[],[],0,[2],0.0,[],[],37,9,0,5,22
3,False,,0,[],[],0,[3],0.0,[],[],37,9,5,0,22
4,False,,0,[],[],0,[4],0.0,[],[],37,22,24,32,0
5,False,,0,[],"[2, 3]",5,[2],0.3999200159968006,[2],[1],37,14,5,32,22
6,False,,0,[],"[3, 2]",5,[3],0.33327778703549404,[4],[3],37,9,14,5,22
7,False,,0,[],"[1, 6]",9,[1],0.571346950435652,"[5, 6]","[4, 7]",37,9,14,32,22
8,False,,0,[],"[6, 1]",9,[3],0.4999375078115236,[8],[9],37,32,,9,35
9,False,,0,[],"[7, 5]",14,[1],0.6665926008221309,[],[],37,14,24,32,22
10,False,,0,[],"[5, 7]",14,[2],0.5999400059994001,[],[],37,24,14,32,33
11,False,,0,[],"[9, 4]",22,[1],0.72720661758022,[],[],37,22,24,32,33
12,False,,0,[],"[4, 9]",22,[4],0.666611115740355,"[1, 7, 10, 13, 16]","[1, 7, 10, 13, 20]",,,33,35,22
13,False,,0,[],"[11, 10]",24,[1],0.7691716021844474,[20],[24],37,24,,32,35
14,False,,0,[],"[10, 11]",24,[2],0.7142346975216056,[],[],,,24,35,33
15,False,,0,[],"[13, 8]",32,[1],0.7999466702219852,"[24, 30, 32]","[25, 28, 29]",37,32,,,
16,False,,0,[],"[8, 13]",32,[3],0.7499531279295043,"[14, 15, 17, 34]","[18, 19, 21, 31]",,,,32,35
17,False,,0,[],"[14, 12]",33,[2],0.7058408328921828,"[21, 25, 27, 35]","[25, 26, 27, 31]",,,33,,
18,False,,0,[],"[12, 14]",33,[4],0.6666296316871284,"[22, 26, 29, 31, 33]","[25, 26, 28, 29, 31]",,,,35,33
19,False,,0,[],"[16, 18]",35,[3],0.8420609441608335,[],[],,,,35,
20,False,,0,[],"[18, 16]",35,[4],0.7999600019998999,[],[],,,,,35
21,False,,0,[],"[0, 15]",37,[0],0.6666349221465644,"[3, 9, 11, 12, 18, 19, 23, 28, 36, 37, 38]","[3, 9, 12, 12, 21, 22, 25, 27, 32, 33, 33]",37,,,,
22,False,,0,[],"[15, 0]",37,[1],0.6363347120585428,[],[],,37,,,
