ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
0,False,,0,[],[],0,[0],0.0,[],[],0,40,36,36,78,64,11,46,59,33
1,False,,0,[],[],0,[1],0.0,[],[],33,0,36,30,23,22,33,32,39,19
2,False,,0,[],[],0,[2],0.0,[],[],33,19,0,30,23,22,33,27,12,17
3,False,,0,[],[],0,[3],0.0,[],[],36,43,39,0,30,50,36,38,45,69
4,False,,0,[],[],0,[4],0.0,[],[],33,40,36,30,0,19,33,32,39,22
5,False,,0,[],[],0,[5],0.0,[],[],33,40,36,30,19,0,33,32,39,22
6,False,,0,[],[],0,[6],0.0,[],[],11,40,36,36,78,64,0,46,59,33
7,False,,0,[],[],0,[7],0.0,[],[],33,19,36,30,23,22,33,0,17,11
8,False,,0,[],[],0,[8],0.0,[],[],33,19,12,30,23,22,33,27,0,17
9,False,,0,[],[],0,[9],0.0,[],[],33,19,36,30,23,22,33,11,17,0
10,False,,0,[],"[0, 6]",11,[0],0.19998000199980004,"[1, 6, 7]","[1, 8, 8]",11,40,36,36,78,64,27,46,59,33
11,False,,0,[],"[6, 0]",11,[6],0.181801654395055,[],[],27,40,36,36,78,64,11,46,59,33
12,False,,0,[],"[7, 9]",11,[7],0.16665277893508876,[],[],52,56,46,67,38,32,52,11,27,69
13,False,,0,[],"[9, 7]",11,[9],0.15383432043688947,[],[],33,19,36,30,23,22,33,27,17,11
14,False,,0,[],"[2, 8]",12,[2],0.14284693950432112,[2],[1],52,40,12,39,78,64,52,46,59,36
15,False,,0,[],"[8, 2]",12,[8],0.13332444503699753,[4],[6],33,19,36,30,23,22,33,27,12,17
16,False,,0,[],"[15, 13]",17,[8],0.37497656396475215,[12],[14],52,56,46,67,38,32,52,27,17,69
17,False,,0,[],"[13, 15]",17,[9],0.3529204164460914,[],[],33,19,36,30,23,22,33,32,39,17
18,False,,0,[],"[1, 17]",19,[1],0.4444197544580856,[5],[7],56,19,64,43,78,64,56,67,59,40
19,False,,0,[],"[17, 1]",19,[9],0.4210304720804168,[15],[18],33,40,36,30,23,22,33,32,39,19
20,False,,0,[],"[4, 5]",19,[4],0.09999500024998749,[8],[9],33,40,36,30,19,50,33,38,45,23
21,False,,0,[],"[5, 4]",19,[5],0.09523356030665206,"[3, 14]","[4, 18]",33,40,36,30,23,19,33,32,39,22
22,False,,0,[],"[21, 19]",22,[5],0.5454297531930367,[16],[20],52,56,46,67,38,22,52,32,39,69
23,False,,0,[],"[19, 21]",22,[9],0.5217164471109952,[],[],33,40,36,30,23,50,33,38,45,22
24,False,,0,[],"[20, 23]",23,[4],0.5833090287904671,"[17, 19, 20]","[20, 22, 22]",36,43,39,30,23,50,36,38,45,69
25,False,,0,[],"[23, 20]",23,[9],0.5599776008959642,[],[],33,40,36,36,78,64,33,46,59,23
26,False,,0,[],"[10, 11]",27,[0],0.15384023691396484,"[10, 13, 21]","[13, 17, 24]",27,40,36,36,78,64,33,46,59,33
27,False,,0,[],"[11, 10]",27,[6],0.14814266138291174,[23],[25],43,40,36,36,78,64,27,46,59,33
28,False,,0,[],"[12, 16]",27,[7],0.28570408199707154,[],[],52,56,46,67,38,32,52,27,39,69
29,False,,0,[],"[16, 12]",27,[8],0.2758525568083859,[],[],59,71,67,72,45,39,59,71,27,69
30,False,,0,[],"[3, 24]",30,[3],0.5333155561481284,[24],[27],36,43,39,30,78,64,36,46,59,69
