ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5
0,False,,0,[],[],0,[0],0.0,[],[],0,61,52,44,36
1,False,,0,[],[],0,[1],0.0,[],[],44,0,52,35,61
2,False,,0,[],[],0,[2],0.0,[],[],62,95,0,52,70
3,False,,0,[],[],0,[3],0.0,[],[],36,35,52,0,25
4,False,,0,[],[],0,[4],0.0,[],[],36,35,52,25,0
5,False,,0,[],"[3, 4]",25,[3],0.3999200159968006,"[1, 2, 5, 18, 24]","[1, 1, 4, 21, 25]",44,35,52,25,61
6,False,,0,[],"[4, 3]",25,[4],0.33327778703549404,"[6, 23]","[7, 25]",36,61,52,44,25
7,False,,0,[],"[1, 5]",35,[1],0.571346950435652,"[8, 10, 11, 19, 21, 25, 38, 40]","[9, 10, 12, 22, 25, 26, 33, 35]",70,35,73,78,61
8,False,,0,[],"[5, 1]",35,[3],0.4999375078115236,"[35, 36, 37]","[31, 32, 33]",44,95,52,35,70
9,False,,0,[],"[0, 6]",36,[0],0.44439506721475397,"[3, 4, 7, 12, 14, 16, 20, 22, 28, 29, 30, 32, 33, 39]","[3, 3, 7, 12, 18, 20, 24, 25, 27, 28, 28, 29, 31, 34]",36,95,52,44,70
10,False,,0,[],"[6, 0]",36,[4],0.3999600039996001,"[27, 34]","[27, 31]",70,61,73,78,36
11,False,,0,[],"[9, 8]",44,[0],0.72720661758022,[46],[42],44,95,62,67,70
12,False,,0,[],"[8, 9]",44,[3],0.666611115740355,[41],[36],62,95,52,44,70
13,False,,0,[],"[2, 12]",52,[2],0.7691716021844474,"[9, 13, 15, 17, 26, 31, 43, 47, 48, 50, 52]","[9, 13, 19, 21, 26, 29, 39, 42, 44, 44, 47]",62,95,52,67,70
14,False,,0,[],"[12, 2]",52,[3],0.7142346975216056,[53],[49],67,95,70,52,70
15,False,,0,[],"[7, 10]",61,[1],0.5332977801479901,"[49, 58, 59]","[44, 55, 55]",109,61,105,121,95
16,False,,0,[],"[10, 7]",61,[4],0.4999687519530029,"[42, 44, 45, 56]","[39, 40, 42, 53]",70,95,73,78,61
17,False,,0,[],"[11, 13]",62,[0],0.7058408328921828,"[51, 54, 55, 61, 62]","[47, 50, 52, 58, 62]",62,95,70,67,70
18,False,,0,[],"[13, 11]",62,[2],0.6666296316871284,[],[],96,95,62,70,73
19,False,,0,[],"[17, 14]",67,[0],0.7368033261407294,[66],[67],67,95,73,78,70
20,False,,0,[],"[14, 17]",67,[3],0.6999650017499125,"[57, 60, 63]","[55, 58, 63]",96,95,70,67,73
21,False,,1,[],"[19, 16]",70,[0],0.8571020427598686,[],[],70,118,109,96,129
22,False,,1,[],"[16, 19]",70,[4],0.8181446297895549,[],[],96,95,73,78,70
