txID,tips,arrival_time,agent,adoption_rate,block_transactions,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,[0],4.067014721646398,[9],0.9990009990009991,"[1, 3]",40.843114673110136,10.57140913250138,23.60011707489501,34.62995257695478,23.60011707489501,31.44333080038835,40.843114673110136,16.831063135385133,42.97952028341679,<module 'time' (built-in)>
2,[0],16.428330293686525,[4],0.49975012493753124,[],34.62995257695478,44.971257621602525,42.97952028341679,30.6385322947098,<module 'time' (built-in)>,27.898228936635054,42.97952028341679,42.97952028341679,22.19819650417083,23.60011707489501
3,[1],21.558386889946007,[9],0.6664445184938355,"[7, 10, 11, 1, 3, 4]",40.843114673110136,50.06744327616436,50.06744327616436,34.62995257695478,23.60011707489501,31.44333080038835,57.29480445220875,54.844718628601875,54.844718628601875,<module 'time' (built-in)>
4,[1],24.029931730085675,[1],0.4998750312421894,"[7, 10, 1, 3, 15, 4]",75.27081784806187,<module 'time' (built-in)>,23.60011707489501,63.63322806511935,85.99372468522662,60.802028874550935,40.843114673110136,26.1643856262619,42.97952028341679,50.06744327616436
5,[4],27.35750101154971,[2],0.5998800239952009,"[19, 7, 10, 18, 11, 1, 3, 21, 15, 20, 4]",75.27081784806187,44.971257621602525,<module 'time' (built-in)>,63.63322806511935,85.99372468522662,60.802028874550935,40.843114673110136,31.44333080038835,42.97952028341679,50.06744327616436
6,[0],31.99312812670761,[0],0.16663889351774702,"[14, 12, 1, 2, 23, 8, 9]",<module 'time' (built-in)>,44.971257621602525,42.97952028341679,63.63322806511935,85.99372468522662,50.06744327616436,42.97952028341679,42.97952028341679,34.62995257695478,40.843114673110136
7,"[2, 3]",35.98064603490625,[4],0.571346950435652,"[7, 10, 17, 11, 1, 13, 3, 22, 16, 4]",,,,101.05099844633149,<module 'time' (built-in)>,98.07474873537576,91.76270724101184,,85.99372468522662,88.95524205259494
8,"[5, 6, 2]",49.01137057688223,[7],0.7499062617172854,"[7, 33, 30, 32, 31, 26, 28, 24, 25, 23, 21, 20, 19, 10, 14, 18, 11, 5, 2, 6, 16, 15, 8, 46, 12, 1, 13, 3, 4, 9]",75.27081784806187,66.62856190377003,54.844718628601875,67.29476556485822,85.99372468522662,63.63322806511935,57.29480445220875,<module 'time' (built-in)>,54.844718628601875,57.29480445220875
9,"[6, 2, 3]",61.56147362401187,[0],0.5554938340184424,"[7, 36, 38, 37, 34, 29, 27, 28, 23, 10, 14, 11, 52, 5, 2, 6, 16, 55, 51, 8, 17, 12, 1, 13, 3, 43, 4, 9]",<module 'time' (built-in)>,,101.05099844633149,91.76270724101184,85.99372468522662,91.76270724101184,80.61359331639736,75.27081784806187,75.27081784806187,88.95524205259494
10,"[8, 3]",64.07307984206338,[6],0.7999200079992002,"[7, 37, 33, 30, 39, 32, 31, 35, 29, 26, 27, 28, 24, 25, 23, 21, 20, 19, 10, 14, 18, 11, 5, 2, 6, 16, 15, 8, 48, 50, 17, 46, 12, 49, 1, 47, 13, 3, 42, 4, 9]",80.61359331639736,69.45010021035503,82.38135547647335,69.45010021035503,101.05099844633149,67.29476556485822,<module 'time' (built-in)>,91.76270724101184,98.07474873537576,91.76270724101184
