ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50
0,False,,0,[],[],0,[0],0.0,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,False,,1,[],[0],60,[9],0.9990009990009991,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 19, 23, 24, 27, 30, 50, 54]","[4, 5, 5, 6, 7, 7, 7, 8, 11, 11, 12, 16, 20, 23, 23, 26, 29, 46, 49]",85,60,76,93,121,102,82,72,90,60,101,82,107,88,88,95,83,105,110,96,100,111,86,75,95,82,78,95,110,67,79,101,114,89,81,78,92,86,90,92,105,92,95,101,78,96,76,67,93,101
2,False,,1,[],[0],61,[36],0.49975012493753124,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 19, 20, 23, 30, 31, 39]","[4, 5, 5, 6, 7, 7, 7, 8, 11, 11, 12, 16, 20, 21, 23, 29, 30, 36]",,,129,131,130,113,122,,124,130,126,,124,,,133,120,,,129,,133,,,,131,,123,119,,,104,,,,,61,127,118,124,111,,,129,123,96,,92,118,118
3,False,,2,[],[1],101,[15],0.6664445184938355,"[0, 1, 2, 14, 15, 17, 18, 20, 21, 22, 25, 26, 28, 29, 31, 32, 34, 35, 36, 38, 39, 41, 42, 43, 44, 45, 46, 48, 49, 51, 53, 55, 56, 58, 60, 63, 66, 67, 68, 72, 77, 79, 80, 82, 90, 98, 104, 111]","[2, 2, 3, 14, 15, 16, 19, 21, 21, 22, 24, 25, 27, 28, 30, 32, 33, 33, 33, 35, 36, 39, 39, 41, 41, 43, 43, 45, 46, 46, 48, 51, 56, 58, 59, 63, 64, 64, 65, 67, 72, 75, 76, 77, 81, 91, 97, 101]",,127,129,131,121,132,124,,114,130,126,,124,,,101,,,,129,,133,,,,101,,123,121,,,,114,,,105,,127,118,124,105,,,127,123,,,111,118,118
