ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
0,True,91,0,[],[],0,[0],0.0,[],[],0,0,0,0,0,0,0,0,0,0
1,True,92,1,[],[0],7,"[2, 3, 5, 8]",0.9990009990009991,[],[],45,9,7,7,22,7,30,27,7,17
1,False,,2,[],[1],90,"[4, 5, 6, 8]",1.9980019980019983,[98],[94],,,92,92,90,90,90,94,90,
1,False,,3,[0],[1],91,"[4, 5, 6, 8]",2.997002997002997,[98],[94],,,92,92,91,91,91,94,91,
1,False,,4,[1],[1],92,"[2, 3, 5, 8]",3.9960039960039966,[],[],,,92,92,92,92,93,94,92,
