ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15
0,True,7,0,[],[],0,[0],0.0,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,True,9,1,[],[0],3,"[5, 8, 10, 11]",0.9990009990009991,"[3, 4]","[3, 3]",23,9,7,7,13,3,30,27,3,17,3,3,20,19,7
2,True,10,2,[],[1],5,"[5, 8, 10, 11]",0.9995002498750625,[10],[5],23,9,7,7,13,5,30,27,5,17,5,5,20,19,7
3,True,31,3,[0],[2],7,"[2, 3, 5, 8, 10, 11, 14]",0.9996667777407531,"[0, 1]","[1, 2]",23,9,7,7,13,7,30,27,7,17,7,7,20,19,7
4,True,46,4,[1],[3],9,"[5, 8, 10, 11]",0.9997500624843788,[13],[9],23,11,12,15,14,9,30,27,9,17,9,9,20,19,14
5,True,47,5,[2],[4],10,"[5, 8, 10, 11]",0.9998000399920015,[15],[10],23,11,12,15,14,10,30,27,10,17,10,10,20,19,14
6,True,48,6,[3],[5],31,"[2, 3, 4, 12]",0.9998333611064822,"[2, 5, 6, 7, 8, 9, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 33]","[2, 3, 3, 4, 4, 5, 7, 7, 9, 11, 11, 12, 12, 13, 17, 17, 18, 20, 23, 23, 23, 25, 25, 26, 30]",46,35,31,31,31,33,46,44,46,33,51,45,31,34,39
7,True,77,7,[4],[6],46,"[0, 6, 11, 12]",0.999857163262391,"[25, 32, 34, 35, 36, 37, 38, 40, 44]","[23, 29, 31, 31, 32, 34, 34, 40, 43]",46,69,67,65,54,61,46,49,58,54,66,46,46,48,48
8,True,90,8,[5],[7],47,"[0, 6, 11, 12]",0.9998750156230471,"[50, 51]","[47, 47]",47,69,67,65,54,61,47,49,58,54,66,47,47,48,48
9,True,91,9,[6],[8],48,"[6, 11, 12, 13]",0.9998889012331964,"[39, 41, 43, 52]","[36, 40, 42, 48]",49,69,67,65,54,61,48,49,58,54,66,48,48,48,48
10,False,,10,[7],[9],77,"[2, 8, 9, 10]",0.9999000099990002,"[42, 45, 46, 47, 48, 49, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 73, 74, 75, 76, 77, 81, 83, 84]","[41, 43, 44, 46, 47, 47, 49, 49, 50, 50, 51, 51, 52, 53, 53, 53, 55, 55, 55, 56, 57, 58, 61, 62, 64, 64, 66, 66, 67, 69, 74, 77, 77]",87,80,77,82,87,86,79,91,77,77,77,93,,,77
11,False,,11,[8],[10],90,"[4, 5, 6, 8]",0.9999090991728026,"[72, 78, 80, 85, 87, 88, 89, 90, 91, 94]","[64, 70, 72, 78, 80, 80, 84, 85, 86, 90]",,,92,93,90,90,90,94,90,,,,,,
12,False,,12,[9],[11],91,"[4, 5, 6, 8]",0.9999166736105325,[96],[91],,,92,93,91,91,91,94,91,,,,,,
