ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5
0,False,,0,[],[],0,[0],0.0,[],[],0,,,,
1,False,,0,[],[],0,[1],0.0,[],[],,0,14,9,22
2,False,,0,[],[],0,[2],0.0,[],[],,9,0,5,22
3,False,,0,[],[],0,[3],0.0,[],[],,9,5,0,22
4,False,,0,[],[],0,[4],0.0,[],[],,22,24,,0
5,False,,0,[],"[2, 3]",5,[2],0.3999200159968006,[],[],,14,5,,22
6,False,,0,[],"[3, 2]",5,[3],0.33327778703549404,[],[],,9,14,5,22
7,False,,0,[],"[1, 6]",9,[1],0.571346950435652,[4],[3],,9,14,,22
8,False,,0,[],"[6, 1]",9,[3],0.4999375078115236,"[6, 7, 9]","[7, 7, 9]",,,,9,
9,False,,0,[],"[7, 5]",14,[1],0.6665926008221309,[10],[10],,14,24,,22
10,False,,0,[],"[5, 7]",14,[2],0.5999400059994001,[12],[12],,24,14,,
11,False,,0,[],"[9, 4]",22,[1],0.72720661758022,[19],[22],,22,24,,
12,False,,0,[],"[4, 9]",22,[4],0.666611115740355,"[3, 8, 11, 13, 15]","[3, 9, 12, 13, 19]",,,,,22
13,False,,0,[],"[11, 10]",24,[1],0.7691716021844474,[],[],,24,,,
14,False,,0,[],"[10, 11]",24,[2],0.7142346975216056,"[16, 17, 18]","[20, 21, 21]",,,24,,
