ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6
0,False,,0,[],[],0,[0],0.0,[],[],0,45,23,36,56,35
1,False,,0,[],[],0,[1],0.0,[],[],35,0,49,27,19,16
2,False,,0,[],[],0,[2],0.0,[],[],23,16,0,27,19,12
3,False,,0,[],[],0,[3],0.0,[],[],35,27,49,0,56,30
4,False,,0,[],[],0,[4],0.0,[],[],35,22,49,27,0,19
5,False,,0,[],[],0,[5],0.0,[],[],23,16,12,27,19,0
6,False,,0,[],"[2, 5]",12,[2],0.33327778703549404,"[5, 8, 16, 18]","[4, 6, 10, 12]",23,45,12,36,56,35
7,False,,0,[],"[5, 2]",12,[5],0.285673475217826,"[9, 12]","[7, 9]",35,16,49,27,19,12
8,False,,0,[],"[1, 7]",16,[1],0.4999375078115236,"[10, 13, 14]","[8, 9, 9]",35,16,49,27,22,30
9,False,,0,[],"[7, 1]",16,[5],0.44439506721475397,[],[],35,22,49,27,19,16
10,False,,0,[],"[4, 9]",19,[4],0.5999400059994001,"[2, 4, 6, 7, 17, 21]","[3, 4, 5, 6, 12, 16]",35,22,49,27,19,30
11,False,,0,[],"[9, 4]",19,[5],0.545404963185165,[22],[18],35,45,49,30,56,19
12,False,,0,[],"[8, 10]",22,[1],0.666611115740355,[],[],35,22,49,27,56,30
13,False,,0,[],"[10, 8]",22,[4],0.6153372817475579,[],[],,56,67,65,22,60
14,False,,0,[],"[0, 6]",23,[0],0.28569387900864224,"[3, 11, 15, 20]","[3, 8, 10, 13]",23,45,49,36,56,35
15,False,,0,[],"[6, 0]",23,[2],0.26664889007399506,"[19, 23, 24]","[13, 18, 19]",49,,23,67,78,69
16,False,,0,[],"[12, 3]",27,[1],0.6249609399412537,[],[],,27,67,45,56,60
17,False,,0,[],"[3, 12]",27,[3],0.588200694076819,"[1, 26]","[3, 21]",35,45,49,27,56,30
18,False,,1,[],"[17, 11]",30,[3],0.6666296316871284,[],[],36,45,49,30,56,60
19,False,,1,[],"[11, 17]",30,[5],0.6315457081206252,"[25, 28, 31, 33]","[20, 25, 29, 30]",35,45,49,36,56,30
20,False,,1,[],"[14, 19]",35,[0],0.7999600019998999,[27],[24],35,45,49,36,56,60
21,False,,1,[],"[19, 14]",35,[5],0.7618684824532165,[34],[32],,60,,69,,35
22,False,,1,[],"[20, 18]",36,[0],0.8181446297895549,[40],[36],36,,49,67,78,69
23,False,,1,[],"[18, 20]",36,[3],0.7825746706664927,"[37, 39]","[33, 35]",,45,67,36,56,60
24,False,,1,[],"[16, 23]",45,[1],0.83329861255781,"[32, 35, 38, 43, 46]","[29, 32, 33, 40, 41]",,45,67,65,56,60
25,False,,1,[],"[23, 16]",45,[3],0.7999680012799487,[],[],,,67,45,65,69
26,False,,1,[],"[22, 15]",49,[0],0.7692011845698242,"[44, 45, 51, 53]","[40, 40, 45, 46]",49,,,,,
27,False,,1,[],"[15, 22]",49,[2],0.7407133069145587,"[29, 30, 47, 48, 55]","[25, 26, 42, 43, 48]",,,49,67,78,69
28,False,,1,[],"[24, 13]",56,[1],0.7856862254919467,"[54, 60, 63]","[48, 53, 55]",,56,,69,,60
29,False,,1,[],"[13, 24]",56,[4],0.7585945312230612,"[36, 42, 49, 50, 62]","[32, 39, 44, 44, 54]",,,67,65,56,69
30,False,,1,[],"[28, 21]",60,[1],0.7999733342221925,[],[],,60,,,,
31,False,,1,[],"[21, 28]",60,[5],0.7741685752072514,"[41, 52, 65]","[37, 46, 58]",,,,69,,60
32,False,,1,[],"[25, 29]",65,[3],0.749976563232399,"[57, 59, 68]","[52, 53, 61]",,,67,65,78,69
33,False,,1,[],"[29, 25]",65,[4],0.7272506893730494,[66],[59],,,78,,65,
34,False,,2,[],"[27, 32]",67,[2],0.8235051910237935,"[61, 73]","[54, 65]",,,67,,78,
35,False,,1,[],"[32, 27]",67,[3],0.7999771435101855,[75],[67],,,,67,,69
36,False,,2,[],"[35, 31]",69,[3],0.8888641982167163,[],[],,,,69,,
37,False,,2,[],"[31, 35]",69,[5],0.8648414907705197,[69],[63],,,,,,69
38,False,,2,[],"[34, 33]",78,[2],0.7894529091339703,"[83, 88, 90]","[73, 75, 76]",,,78,,,
39,False,,2,[],"[33, 34]",78,[4],0.7692110458706187,[74],[66],,,,,78,
