ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5
0,False,,0,[],[],0,[0],0.0,[],[],0,81,57,65,60
1,False,,0,[],[],0,[1],0.0,[],[],81,0,60,9,27
2,False,,0,[],[],0,[2],0.0,[],[],57,9,0,5,27
3,False,,0,[],[],0,[3],0.0,[],[],57,9,5,0,27
4,False,,0,[],[],0,[4],0.0,[],[],81,27,60,32,0
5,False,,0,[],"[2, 3]",5,[2],0.3999200159968006,[2],[1],57,81,5,65,60
6,False,,0,[],"[3, 2]",5,[3],0.33327778703549404,[3],[3],81,9,60,5,27
7,False,,0,[],"[1, 6]",9,[1],0.571346950435652,[4],[3],81,9,60,32,27
8,False,,0,[],"[6, 1]",9,[3],0.4999375078115236,[7],[7],81,32,65,9,68
9,False,,0,[],"[7, 4]",27,[1],0.6665926008221309,"[21, 23]","[25, 25]",81,27,65,32,68
10,False,,0,[],"[4, 7]",27,[4],0.5999400059994001,"[6, 10, 17, 24]","[7, 10, 21, 25]",122,97,60,65,27
11,False,,0,[],"[9, 8]",32,[1],0.72720661758022,[34],[31],81,32,65,37,68
12,False,,0,[],"[8, 9]",32,[3],0.666611115740355,"[18, 19, 20, 26]","[21, 22, 24, 26]",81,37,65,32,68
13,False,,0,[],"[11, 12]",37,[1],0.7691716021844474,[],[],81,37,99,97,113
14,False,,0,[],"[12, 11]",37,[3],0.7142346975216056,"[38, 41]","[33, 36]",122,97,65,37,68
15,False,,0,[],"[0, 5]",57,[0],0.26664889007399506,"[1, 5, 9, 11, 12, 13, 15, 16, 22, 25, 27, 31, 39, 40, 46, 49, 50, 55, 57]","[1, 4, 9, 12, 12, 13, 19, 20, 25, 26, 27, 29, 34, 35, 42, 44, 44, 52, 55]",57,81,99,97,113
16,False,,0,[],"[5, 0]",57,[2],0.24998437597650144,"[8, 14, 28, 32, 33, 35, 36, 37, 47]","[9, 18, 27, 29, 31, 31, 32, 33, 42]",122,97,57,65,60
17,False,,0,[],"[16, 10]",60,[2],0.588200694076819,[],[],122,97,60,65,68
18,False,,0,[],"[10, 16]",60,[4],0.555524693072607,"[29, 30, 48, 51]","[28, 28, 44, 47]",122,97,81,68,60
19,False,,1,[],"[17, 14]",65,[2],0.8420609441608335,[63],[63],122,105,65,99,81
20,False,,1,[],"[14, 17]",65,[3],0.7999600019998999,"[42, 45, 52, 58, 61, 62]","[39, 42, 47, 55, 58, 62]",122,97,81,65,68
21,False,,1,[],"[20, 18]",68,[3],0.8571020427598686,"[66, 67]","[67, 67]",122,97,99,68,113
22,False,,1,[],"[18, 20]",68,[4],0.8181446297895549,[64],[64],122,105,81,99,68
23,False,,0,[],"[15, 13]",81,[0],0.608669188296161,[60],[58],81,139,122,138,130
24,False,,0,[],"[13, 15]",81,[1],0.5833090287904671,"[43, 44, 53, 54, 56, 59, 65, 71, 75]","[39, 40, 49, 50, 53, 55, 64, 71, 74]",122,81,99,97,113
25,False,,1,[],"[19, 22]",81,[2],0.7999680012799487,"[68, 69, 72, 73, 79, 81, 82]","[68, 69, 72, 72, 79, 80, 80]",122,105,81,99,113
26,False,,1,[],"[22, 19]",81,[4],0.7692011845698242,"[70, 74, 76, 78, 80]","[69, 73, 74, 77, 80]",122,113,118,138,81
27,False,,1,[],"[24, 21]",97,[1],0.8147846376060146,"[87, 89, 90]","[90, 94, 94]",122,97,105,138,113
28,False,,1,[],"[21, 24]",97,[3],0.7856862254919467,"[77, 91]","[76, 96]",122,105,99,97,113
