ID,confirmedBlock,confirmationTime,chainNum,orderTime,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5
22,True,281,1,141,[],"[10, 18]",74,[3],0.7272396709240488,"[30, 32, 44, 47, 70, 72, 74, 75, 76]","[28, 29, 40, 42, 69, 72, 73, 74, 74]",153,125,147,74,125
23,True,281,1,141,[],"[21, 20]",82,[2],0.8695274118516586,"[80, 82]","[80, 80]",97,85,82,125,102
24,True,281,1,141,[],"[20, 21]",82,[4],0.83329861255781,[65],[64],104,102,123,125,82
25,True,281,1,141,[],"[19, 23]",85,[1],0.8799648014079436,"[62, 66, 78, 81]","[62, 67, 77, 80]",104,85,123,125,102
26,True,281,1,141,[],"[23, 19]",85,[2],0.8461213030268067,[],[],97,104,85,125,124
27,True,281,1,141,[],"[15, 26]",97,[0],0.8888559682974704,"[59, 64, 67, 68, 69, 77, 79]","[55, 64, 67, 68, 69, 76, 79]",97,104,123,125,124
28,True,317,1,147,[],"[26, 15]",97,[2],0.8571122459912146,[88],[93],123,147,97,147,168
29,True,281,1,141,[],"[25, 24]",102,[1],0.8275576704251577,"[86, 89, 90, 92]","[90, 94, 94, 97]",104,102,123,125,124
30,True,281,1,141,[],"[24, 25]",102,[4],0.7999733342221925,"[83, 95, 96, 99]","[83, 101, 101, 101]",153,124,147,125,102
31,True,317,1,147,[],"[27, 29]",104,[0],0.9031966710751266,[97],[101],104,147,123,147,168
32,True,281,1,141,[],"[29, 27]",104,[1],0.8749726571044656,[100],[103],153,104,147,125,124
33,True,317,1,191,[],"[31, 28]",123,[0],0.9090633617163117,"[102, 107, 109, 119, 124]","[105, 112, 112, 121, 123]",123,153,162,153,168
34,True,317,1,191,[],"[28, 31]",123,[2],0.8823269903826358,"[93, 94, 98, 103, 116]","[100, 101, 101, 107, 120]",153,147,123,147,168
35,True,281,1,141,[],"[32, 30]",124,[1],0.8571183680466273,"[105, 108, 113, 115, 117, 118]","[107, 112, 117, 120, 121, 121]",153,124,147,125,125
36,True,281,1,141,[],"[30, 32]",124,[4],0.8333101858281715,"[104, 125]","[107, 124]",153,141,147,125,124
37,True,317,1,147,[],"[35, 22]",125,[1],0.8648414907705197,[],[],153,125,147,141,168
38,True,281,1,141,[],"[22, 35]",125,[3],0.8420831030762349,"[84, 85, 87, 91, 101, 106, 110, 111, 112, 114, 120, 121, 122, 123]","[84, 90, 90, 96, 104, 108, 114, 114, 116, 118, 121, 121, 121, 121]",153,141,147,125,125
39,True,346,2,147,[],"[38, 36]",125,[3],0.8717725186533679,[],[],153,141,147,125,168
40,True,346,2,191,[],"[36, 38]",125,[4],0.8499787505312367,[],[],169,186,168,191,125
41,True,346,2,191,[],"[37, 39]",141,[1],0.878027365186215,[133],[130],153,141,147,147,168
42,True,346,2,191,[],"[39, 37]",141,[3],0.857122449465489,"[130, 135, 136, 141, 143]","[128, 134, 136, 140, 140]",153,157,147,141,168
43,True,346,2,191,[],"[41, 34]",147,[1],0.930210925327318,[],[],153,147,162,153,168
44,True,346,2,191,[],"[34, 41]",147,[2],0.9090702484034454,"[127, 129, 132, 138, 144, 145, 148]","[124, 128, 130, 137, 141, 142, 147]",153,157,147,147,168
45,True,346,2,191,[],"[44, 42]",147,[2],0.9333125930534878,[],[],162,186,147,191,168
46,True,346,2,191,[],"[42, 44]",147,[3],0.9130236299210888,[147],[143],153,157,162,147,168
47,True,346,2,191,[],"[33, 43]",153,[0],0.8935980085530095,"[126, 131, 137, 142, 149, 151, 153, 155]","[124, 128, 136, 140, 148, 150, 152, 152]",153,157,162,153,168
48,True,346,2,191,[],"[43, 33]",153,[1],0.8749817712130997,[154],[152],217,153,186,157,240
49,True,346,2,191,[],"[47, 46]",153,[0],0.9387563519111856,[],[],153,186,162,191,168
50,True,346,2,191,[],"[46, 47]",153,[3],0.9199816003679927,"[152, 156]","[151, 153]",217,157,186,153,240
51,True,346,2,191,[],"[48, 50]",157,[1],0.9411580165094803,[157],[154],217,157,186,182,240
52,True,346,2,191,[],"[50, 48]",157,[3],0.9230591719390012,[158],[154],217,182,186,157,240
53,True,353,2,240,[],"[49, 45]",162,[0],0.90564328974925,[161],[156],162,229,217,240,169
54,True,346,2,191,[],"[45, 49]",162,[2],0.8888724282883651,"[150, 159, 160, 163, 165, 169]","[149, 156, 156, 158, 160, 162]",169,186,162,191,168
55,True,346,2,191,[],"[54, 40]",168,[2],0.9090743804658098,[],[],217,186,168,191,240
56,True,353,2,240,[],"[40, 54]",168,[4],0.8928411992642988,"[128, 134, 139, 140, 146, 166, 171]","[127, 131, 138, 140, 143, 160, 165]",169,229,217,240,168
57,True,353,2,274,[],"[53, 56]",169,[0],0.912264697110577,[172],[168],169,229,217,251,265
58,True,353,2,276,[],"[56, 53]",169,[4],0.8965362666160929,[],[],273,276,251,240,169
59,True,346,2,191,[],"[51, 52]",182,[1],0.8474432636734971,"[162, 164, 167, 170]","[158, 159, 162, 164]",217,182,186,191,240
60,True,353,2,240,[],"[52, 51]",182,[3],0.8333194446759221,"[168, 178, 182]","[162, 178, 182]",217,198,191,182,240
61,True,397,3,276,[],"[59, 55]",186,[1],0.9180177374141408,[185],[185],217,186,202,198,240
62,True,397,3,240,[],"[55, 59]",186,[2],0.9032112385284109,"[174, 176, 181, 183]","[170, 172, 182, 183]",217,198,186,191,240
63,True,397,3,202,[],"[62, 60]",191,[2],0.9206203076141649,"[186, 187]","[187, 190]",217,202,191,251,265
64,True,397,3,276,[],"[60, 62]",191,[3],0.9062358400649989,[],[],217,198,202,191,240
65,True,397,3,202,[],"[61, 64]",198,[1],0.9230627221119675,"[189, 193]","[194, 195]",217,198,202,251,265
66,True,397,3,276,[],"[64, 61]",198,[3],0.9090771351949212,[],[],273,276,251,198,240
67,True,397,3,276,[],"[65, 63]",202,[1],0.9253593229951791,[200],[200],229,202,274,273,273
68,True,397,3,276,[],"[63, 65]",202,[2],0.9117512977750326,"[191, 194, 196]","[194, 195, 200]",217,229,202,251,265
69,True,397,3,276,[],"[57, 68]",217,[0],0.9565078766974391,"[173, 175, 177, 184, 190, 192, 198, 199, 202, 204, 208, 209, 210, 211]","[170, 171, 175, 184, 194, 194, 200, 200, 202, 205, 212, 213, 214, 215]",217,229,274,273,273
70,True,397,3,276,[],"[68, 57]",217,[2],0.9428436736618048,"[213, 215]","[216, 217]",273,276,217,251,265
71,True,397,3,276,[],"[69, 67]",229,[0],0.9577329896762017,"[218, 219]","[221, 221]",229,276,274,273,273
72,False,,3,,[],"[67, 69]",229,[1],0.9444313273426758,"[205, 206, 214, 221]","[206, 208, 217, 224]",276,229,283,297,287
73,True,397,3,276,[],"[66, 58]",240,[3],0.8767003191737099,"[197, 201, 203, 207, 212, 216, 231]","[200, 200, 202, 210, 216, 218, 235]",273,276,251,240,265
74,True,397,3,276,[],"[58, 66]",240,[4],0.8648531776597613,"[179, 180, 188, 195, 217, 222, 225, 227]","[178, 181, 190, 198, 219, 224, 227, 228]",273,276,272,265,240
75,True,397,3,276,[],"[70, 73]",251,[2],0.9333208890548126,"[220, 223, 224, 226, 229, 235, 236, 242]","[223, 226, 227, 227, 231, 242, 242, 249]",273,276,251,272,273
76,True,397,3,276,[],"[73, 70]",251,[3],0.9210405126248338,[],[],273,276,272,251,265
77,True,397,3,276,[],"[76, 74]",265,[3],0.935052791522188,"[245, 247, 250, 251, 257, 258]","[253, 255, 256, 257, 264, 264]",273,276,272,265,273
78,True,397,3,276,[],"[74, 76]",265,[4],0.9230650889091165,"[238, 239, 240, 249]","[244, 245, 246, 256]",273,276,274,281,265
79,True,397,3,276,[],"[75, 77]",272,[2],0.9366970038353944,"[252, 259]","[257, 266]",274,276,272,281,280
80,True,397,3,276,[],"[77, 75]",272,[3],0.9249884376445294,[],[],273,276,274,272,273
81,True,397,3,276,[],"[71, 80]",273,[0],0.9629510746780904,"[232, 233, 237, 254, 256, 260, 261, 262, 264]","[239, 240, 243, 262, 263, 268, 270, 271, 272]",273,276,274,281,273
82,False,,3,,[],"[80, 71]",273,[3],0.9512079120986329,[],[],317,287,317,273,281
83,True,397,3,276,[],"[81, 78]",273,[0],0.9638438091107335,[],[],273,276,274,281,280
84,False,,3,,[],"[78, 81]",273,[4],0.9523696146474446,[],[],317,283,280,281,273
85,False,,4,,[],"[83, 79]",274,[0],0.964694533005494,[265],[274],274,276,283,297,287
86,False,,4,,[],"[79, 83]",274,[2],0.953477285147847,[],[],317,283,274,281,280
87,False,,4,,[],"[85, 72]",276,[0],0.9655061436075447,[],[],276,336,346,317,339
88,False,,4,,[],"[72, 85]",276,[1],0.9545346075612776,"[228, 230, 234, 241, 243, 244, 246, 248, 253, 255, 263]","[231, 235, 240, 248, 251, 253, 254, 255, 258, 263, 271]",317,276,283,297,287
89,False,,4,,[],"[86, 84]",280,[2],0.9438096201166278,[269],[278],317,283,280,297,287
90,False,,4,,[],"[84, 86]",280,[4],0.933322963078188,"[266, 267, 270]","[274, 276, 279]",317,287,317,281,280
91,False,,4,,[],"[82, 90]",281,[3],0.9450445599498906,[272],[280],317,305,317,281,297
92,False,,4,,[],"[90, 82]",281,[4],0.9347724481255638,[273],[281],317,287,317,297,281
93,False,,4,,[],"[88, 89]",283,[1],0.9462263846625305,[274],[282],317,283,317,297,287
94,False,,4,,[],"[89, 88]",283,[2],0.9361602536143232,[],[],336,317,283,346,337
95,False,,4,,[],"[93, 92]",287,[1],0.9684108588330649,[280],[287],336,287,317,346,305
96,False,,4,,[],"[92, 93]",287,[4],0.9583233507984291,"[275, 276, 278]","[282, 282, 283]",317,305,317,297,287
97,False,,4,,[],"[91, 96]",297,[3],0.9690621746167565,"[277, 283, 284, 285, 287]","[283, 292, 293, 293, 294]",317,336,346,297,339
98,False,,4,,[],"[96, 91]",297,[4],0.9591738859807553,"[282, 288]","[291, 294]",336,305,317,346,297
99,False,,4,,[],"[95, 98]",305,[1],0.9696871748770214,"[286, 292, 293, 298]","[294, 301, 301, 303]",336,305,317,346,337
100,False,,4,,[],"[98, 95]",305,[4],0.959990400095999,"[294, 297, 299]","[301, 303, 304]",340,339,337,346,305
101,False,,4,,[],"[87, 97]",317,[0],0.9504856387560519,"[268, 271, 281, 289, 290, 296, 307, 311, 312]","[277, 280, 289, 295, 296, 302, 309, 312, 313]",317,336,346,346,339
102,False,,4,,[],"[97, 87]",317,[3],0.9411672434583974,"[302, 314]","[307, 314]",351,355,353,317,346
103,False,,4,,[],"[99, 94]",317,[1],0.9514470733293852,"[304, 308, 310, 316]","[308, 310, 312, 316]",336,317,346,346,339
104,False,,5,,[],"[94, 99]",317,[2],0.9422986317439255,"[279, 291, 295, 300, 301, 306, 309, 317]","[287, 298, 301, 306, 306, 309, 311, 316]",340,339,317,346,337
105,False,,5,,[],"[101, 103]",336,[0],0.9714193198160017,"[320, 322, 331]","[320, 323, 335]",336,355,353,346,340
106,False,,5,,[],"[103, 101]",336,[1],0.9622550730653484,"[323, 330]","[326, 335]",340,336,346,346,339
107,False,,5,,[],"[104, 100]",337,[2],0.9345707049466827,"[319, 325]","[320, 330]",397,346,337,353,376
108,False,,5,,[],"[100, 104]",337,[4],0.9259173526171054,"[303, 305, 313, 315, 318, 324, 326, 328, 329]","[307, 308, 314, 316, 318, 328, 330, 332, 333]",340,339,346,346,337
109,False,,5,,[],"[106, 108]",339,[1],0.9724681424941055,"[333, 336]","[338, 339]",397,339,346,353,376
110,False,,5,,[],"[108, 106]",339,[4],0.9636276033854237,[],[],340,355,353,346,339
111,False,,5,,[],"[105, 110]",340,[0],0.9729642075296618,[335],[338],340,355,353,351,376
112,False,,5,,[],"[110, 105]",340,[4],0.9642771046687083,[],[],351,355,353,346,340
113,False,,5,,[],"[109, 107]",346,[1],0.9557437544800488,[],[],409,346,,355,377
114,False,,5,,[],"[107, 109]",346,[2],0.9473601108762203,"[337, 338, 339, 340]","[340, 341, 342, 343]",397,355,346,353,376
115,False,,5,,[],"[102, 112]",346,[3],0.9565134216224206,"[321, 327, 332, 334]","[321, 331, 336, 338]",351,355,353,346,376
116,False,,5,,[],"[112, 102]",346,[4],0.9482676873475229,[],[],397,377,376,,346
117,False,,5,,[],"[111, 115]",351,[0],0.9572567755831146,[343],[348],351,,397,,409
118,False,,5,,[],"[115, 111]",351,[3],0.949144498775434,[342],[348],397,355,353,351,376
119,False,,6,,[],"[114, 118]",353,[2],0.9747817245233233,[341],[348],397,377,353,,376
120,False,,5,,[],"[118, 114]",353,[3],0.9666586111782401,[345],[352],409,355,,353,377
121,False,,6,,[],"[113, 120]",355,[1],0.9751985520780819,[],[],409,355,,,377
122,False,,5,,[],"[120, 113]",355,[3],0.9672051868427307,[],[],,,,355,
123,False,,6,,[],"[119, 116]",376,[2],0.9593417939691546,"[346, 362]","[355, 370]",397,,376,,409
124,False,,6,,[],"[116, 119]",376,[4],0.9516052289900887,"[344, 354, 359]","[351, 363, 367]",409,377,,,376
125,False,,6,,[],"[121, 124]",377,[1],0.9759921920624635,"[355, 357, 358, 365]","[364, 365, 365, 376]",,377,,,
126,False,,6,,[],"[124, 121]",377,[4],0.9682462837596527,[],[],409,,,,377
127,False,,6,,[],"[117, 123]",397,[0],0.9448744498074818,"[351, 356, 363, 364, 366, 370, 371]","[363, 365, 371, 371, 376, 379, 379]",397,,,,409
128,False,,6,,[],"[123, 117]",397,[2],0.93749267583847,"[368, 369, 376, 379, 381]","[377, 378, 382, 385, 387]",,,397,,
129,False,,6,,[],"[127, 126]",409,[0],0.9767366144448493,"[389, 393, 400]","[398, 399, 407]",409,,,,
130,False,,6,,[],"[126, 127]",409,[4],0.9692233136668179,"[375, 377, 382, 384, 385, 388, 390, 395, 396, 398]","[382, 383, 388, 393, 393, 398, 398, 400, 402, 404]",,,,,409
