ID,confirmedBlock,confirmationTime,chainNum,orderTime,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5
0,True,240,0,31,[],[],0,[0],0.0,[],[],0,40,53,74,31
1,True,240,0,57,[],[],0,[1],0.0,[],[],31,0,19,27,22
2,True,240,0,61,[],[],0,[2],0.0,[],[],31,19,0,27,22
3,True,240,0,57,[],[],0,[3],0.0,[],[],40,27,53,0,61
4,True,240,0,22,[],[],0,[4],0.0,[],[],31,22,53,27,0
5,True,240,0,61,[],"[1, 2]",19,[1],0.3999200159968006,"[4, 13, 15]","[3, 13, 19]",31,19,53,27,22
6,True,240,0,61,[],"[2, 1]",19,[2],0.33327778703549404,"[1, 8]","[1, 9]",53,57,19,74,61
7,True,240,0,61,[],"[5, 4]",22,[1],0.571346950435652,"[17, 19]","[21, 22]",40,22,53,27,61
8,True,240,0,61,[],"[4, 5]",22,[4],0.4999375078115236,[12],[12],31,40,53,74,22
9,True,240,0,61,[],"[7, 3]",27,[1],0.6665926008221309,"[24, 26, 28]","[25, 26, 27]",40,27,53,74,61
10,True,274,0,97,[],"[3, 7]",27,[3],0.5999400059994001,"[2, 3, 5, 6, 7, 9, 11, 25]","[1, 3, 4, 7, 7, 9, 12, 26]",97,85,74,27,82
11,True,240,0,61,[],"[0, 8]",31,[0],0.545404963185165,"[10, 14, 18, 33]","[10, 18, 21, 31]",31,40,53,74,61
12,True,274,0,97,[],"[8, 0]",31,[4],0.49995833680526625,"[22, 35]","[25, 31]",97,61,82,125,31
13,True,240,0,61,[],"[11, 9]",40,[0],0.7691716021844474,"[39, 43]","[34, 39]",40,57,53,74,61
14,True,240,0,67.5,[],"[9, 11]",40,[1],0.7142346975216056,[],[],97,40,57,74,61
15,True,274,0,97,[],"[13, 6]",53,[0],0.7999466702219852,"[49, 51, 54]","[44, 47, 50]",53,104,97,125,124
16,True,281,1,97,[],"[6, 13]",53,[2],0.7499531279295043,"[16, 20, 21, 23, 27, 29, 31, 34, 36, 37, 40, 42, 45]","[20, 24, 25, 25, 27, 28, 29, 31, 32, 33, 35, 39, 42]",97,57,53,74,61
17,True,281,1,141,[],"[14, 16]",57,[1],0.8234809717075465,[52],[47],97,57,82,125,61
18,True,281,1,141,[],"[16, 14]",57,[2],0.7777345703016498,[58],[55],97,85,57,74,82
19,True,281,1,141,[],"[17, 12]",61,[1],0.8420609441608335,[],[],97,61,85,125,102
20,True,281,1,141,[],"[12, 17]",61,[4],0.7999600019998999,"[38, 41, 46, 48, 50, 53, 55, 56, 57, 61]","[33, 36, 42, 44, 44, 49, 52, 53, 55, 58]",97,85,82,125,61
21,True,281,1,141,[],"[18, 10]",74,[2],0.7618684824532165,"[60, 63, 71, 73]","[58, 63, 71, 72]",97,85,74,125,82
